Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,55338.625000,56401.304688,53525.468750,54771.578125,54771.578125,143627738115
2021-10-11,54734.125000,62757.128906,54370.972656,61553.617188,61553.617188,277084548345
2021-10-18,61548.804688,66930.390625,59643.343750,60930.835938,60930.835938,257856648064
2021-10-25,60893.925781,63729.324219,58206.917969,61318.957031,61318.957031,256114057651
2021-11-01,61320.449219,64242.792969,59695.183594,63326.988281,63326.988281,227064607869
2021-11-08,63344.066406,68789.625000,62333.914063,65466.839844,65466.839844,259776276520
2021-11-15,65521.289063,66281.570313,55705.179688,58730.476563,58730.476563,253419951009
2021-11-22,58706.847656,59367.968750,53569.765625,57248.457031,57248.457031,243930001011
2021-11-29,57291.906250,59113.402344,42874.617188,49368.847656,49368.847656,276690611812
2021-12-06,49413.480469,51934.781250,46942.347656,50098.335938,50098.335938,208148497532
2021-12-13,50114.742188,50205.000000,45598.441406,46707.015625,46707.015625,214770398202
2021-12-20,46707.062500,51814.027344,45579.808594,50809.515625,50809.515625,175052499792
2021-12-27,50802.609375,51956.328125,45819.953125,47345.218750,47345.218750,203998848909
2022-01-03,47343.542969,47510.726563,40672.277344,41911.601563,41911.601563,276182787152
2022-01-10,41910.230469,44278.421875,39796.570313,43113.878906,43113.878906,199473804544
2022-01-17,43118.121094,43413.023438,34349.250000,36276.804688,36276.804688,196326044073
2022-01-24,36275.734375,38825.410156,33184.058594,37917.601563,37917.601563,178727434896
2022-01-31,37920.281250,42500.785156,36375.539063,42412.433594,42412.433594,143977109319
2022-02-07,42406.781250,45661.171875,41748.156250,42197.515625,42197.515625,176958095731
2022-02-14,42157.398438,44667.218750,38112.812500,38431.378906,38431.378906,144975794552
2022-02-21,38423.210938,40005.347656,34459.218750,37709.785156,37709.785156,190469710084
2022-02-28,37706.000000,45077.578125,37518.214844,38419.984375,38419.984375,187557375751
2022-03-07,38429.304688,42465.671875,37260.203125,37849.664063,37849.664063,175966999156
2022-03-14,37846.316406,42316.554688,37680.734375,41247.824219,41247.824219,184097042034
2022-03-21,41246.132813,46827.546875,40668.042969,46820.492188,46820.492188,188591889758
2022-03-28,46821.851563,48086.835938,44403.140625,46453.566406,46453.566406,223334181931
2022-04-04,46445.273438,47106.140625,42021.207031,42207.671875,42207.671875,188557001876
2022-04-11,42201.039063,42424.589844,39373.058594,39716.953125,39716.953125,174652159709
2022-04-18,39721.203125,42893.582031,38696.191406,39469.292969,39469.292969,184314843516
2022-04-25,39472.605469,40713.890625,37585.789063,38469.093750,38469.093750,216681007567
2022-05-02,38472.187500,39902.949219,33878.964844,34059.265625,34059.265625,239044762282
2022-05-09,34060.015625,34222.074219,26350.490234,31305.113281,31305.113281,357800928090
2022-05-16,31304.375000,31305.341797,28708.955078,30323.722656,30323.722656,196429842104
2022-05-23,30309.396484,30590.585938,28261.906250,29445.957031,29445.957031,212594819496
2022-05-30,29443.365234,32249.863281,29303.572266,29906.662109,29906.662109,203063587161
2022-06-06,29910.283203,31693.291016,26762.648438,26762.648438,26762.648438,215929645934
2022-06-13,26737.578125,26795.589844,17708.623047,20553.271484,20553.271484,309685915250
2022-06-20,20553.371094,21783.724609,19689.169922,21027.294922,21027.294922,175909056122
2022-06-27,21028.238281,21478.089844,18729.656250,19297.076172,19297.076172,157426002965
2022-07-04,19297.314453,22314.941406,19063.066406,20860.449219,20860.449219,206953871021
2022-07-11,20856.353516,21600.640625,18999.953125,20779.343750,20779.343750,187297974219
2022-07-18,20781.912109,24196.818359,20781.912109,22609.164063,22609.164063,244312089708
2022-07-25,22607.156250,24572.580078,20776.816406,23336.896484,23336.896484,223759636595
2022-08-01,23336.718750,23578.650391,22485.701172,23175.890625,23175.890625,166393135564
2022-08-08,23179.527344,24974.914063,22771.519531,24319.333984,24319.333984,195343016900
2022-08-15,24318.316406,25135.589844,20856.730469,21534.121094,21534.121094,208764012537
2022-08-22,21531.462891,21804.908203,19616.814453,19616.814453,19616.814453,223346042309
2022-08-29,19615.154297,20542.644531,19600.785156,19986.712891,19986.712891,208511390280
2022-09-05,19988.789063,21770.552734,18644.466797,21769.255859,21769.255859,259528892947
2022-09-12,21770.148438,22673.820313,19387.492188,19419.505859,19419.505859,261900187496
2022-09-19,19418.572266,19674.630859,18290.314453,18802.097656,18802.097656,252873598365
2022-09-26,18803.900391,20338.455078,18553.296875,19044.107422,19044.107422,280290121527
2022-10-03,19044.068359,20408.392578,19025.226563,19955.443359,19955.443359,134307211712
2022-10-07,19962.253906,20041.085938,19400.988281,19445.611328,19445.611328,29781020672
